"Step","shared_encoder_v2 - generated R distribution"
"1232","{""values"":[9,25,71,252,709,1284,2561,4489,6871,9532,12027,14706,16624,18224,19564,20345,20763,20814,20644,20728,20576,20636,20300,20087,20373,20665,21036,21493,21710,22337,22983,23951,24264,24790,25763,26385,26796,27395,27651,28163,28561,28689,28977,29265,30655,33466,36828,39532,36565,29513,20701,12177,6626,3920,2186,1256,779,524,329,211,127,51,21,21],""_type"":""histogram"",""bins"":[2.297520637512207,6.245997115969658,10.194473594427109,14.14295007288456,18.09142655134201,22.03990302979946,25.988379508256912,29.936855986714363,33.885332465171814,37.833808943629265,41.782285422086716,45.73076190054417,49.67923837900162,53.62771485745907,57.57619133591652,61.52466781437397,65.47314429283142,69.42162077128887,73.37009724974632,77.31857372820377,81.26705020666122,85.21552668511868,89.16400316357613,93.11247964203358,97.06095612049103,101.00943259894848,104.95790907740593,108.90638555586338,112.85486203432083,116.80333851277828,120.75181499123573,124.70029146969318,128.64876794815063,132.59724442660809,136.54572090506554,140.494197383523,144.44267386198044,148.3911503404379,152.33962681889534,156.2881032973528,160.23657977581024,164.1850562542677,168.13353273272514,172.0820092111826,176.03048568964005,179.9789621680975,183.92743864655495,187.8759151250124,191.82439160346985,195.7728680819273,199.72134456038475,203.6698210388422,207.61829751729965,211.5667739957571,215.51525047421455,219.463726952672,223.41220343112946,227.3606799095869,231.30915638804436,235.2576328665018,239.20610934495926,243.1545858234167,247.10306230187416,251.0515387803316,255.00001525878906]}"
"1237","{""_type"":""histogram"",""values"":[5,27,72,196,444,888,1890,3707,6005,8580,11694,14878,17692,20532,23084,25506,27202,28951,29788,30370,30354,30181,30059,29161,28848,28072,27936,27340,26659,26674,26429,25921,25629,24683,24596,24292,23689,23570,23009,22854,22214,21733,21338,20632,20396,20129,20837,22181,22593,20947,16024,11150,7732,5580,3888,3042,2273,1620,1170,754,471,236,105,64],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1242","{""values"":[2,6,17,76,356,1225,3625,7907,13521,18412,21726,24500,26719,28613,29921,30023,29808,29239,28330,27521,26396,25887,24549,23800,23520,22759,22614,22228,21878,21611,21770,21434,21442,21226,21192,21508,21237,21093,21181,20978,20705,20673,20473,20682,20420,21508,23053,23980,24948,23379,18080,12973,8628,5602,3741,2828,2239,1716,1276,833,541,257,117,74],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1247","{""values"":[6,24,105,383,1073,3306,6826,11452,16241,20974,25014,28134,31083,32773,33599,34201,33555,32763,32267,30950,29617,28778,27584,26828,25905,25054,24316,23920,23439,22415,22068,21769,21260,20531,20457,19851,19686,19224,18759,18148,17710,17145,16714,16466,15770,15445,15201,15533,16574,16152,13386,9535,7002,5212,4001,3173,2610,2184,1743,1205,747,409,209,112],""_type"":""histogram"",""bins"":[1.9943115711212158,5.947525691241026,9.900739811360836,13.853953931480646,17.807168051600456,21.760382171720266,25.713596291840076,29.666810411959887,33.6200245320797,37.57323865219951,41.52645277231932,45.47966689243913,49.43288101255894,53.38609513267875,57.33930925279856,61.29252337291837,65.24573749303818,69.19895161315799,73.1521657332778,77.10537985339761,81.05859397351742,85.01180809363723,88.96502221375704,92.91823633387685,96.87145045399666,100.82466457411647,104.77787869423628,108.73109281435609,112.6843069344759,116.63752105459571,120.59073517471552,124.54394929483533,128.49716341495514,132.45037753507495,136.40359165519476,140.35680577531457,144.31001989543438,148.2632340155542,152.216448135674,156.1696622557938,160.12287637591362,164.07609049603343,168.02930461615324,171.98251873627305,175.93573285639286,179.88894697651267,183.84216109663248,187.7953752167523,191.7485893368721,195.7018034569919,199.65501757711172,203.60823169723153,207.56144581735134,211.51465993747115,215.46787405759096,219.42108817771077,223.37430229783058,227.3275164179504,231.2807305380702,235.23394465819,239.18715877830982,243.14037289842963,247.09358701854944,251.04680113866925,255.00001525878906]}"
"1252","{""_type"":""histogram"",""values"":[4,18,63,293,1225,3602,7731,12382,17898,22715,26916,29798,32516,34214,35444,36513,36916,36451,35782,34493,33058,31708,30346,28655,27945,26699,25722,24285,23162,22513,21332,20813,19665,19132,18209,17922,17184,16417,15937,15410,14873,14081,13883,13467,12756,12499,11968,11757,12294,12871,11775,10067,8193,6493,5285,4098,3453,2613,1971,1405,863,460,218,145],""bins"":[3.1407253742218018,7.076026778668165,11.011328183114529,14.946629587560892,18.881930992007256,22.81723239645362,26.752533800899982,30.687835205346346,34.62313660979271,38.55843801423907,42.493739418685436,46.4290408231318,50.36434222757816,54.29964363202453,58.23494503647089,62.17024644091725,66.10554784536362,70.04084924980998,73.97615065425634,77.91145205870271,81.84675346314907,85.78205486759543,89.7173562720418,93.65265767648816,97.58795908093452,101.52326048538089,105.45856188982725,109.39386329427361,113.32916469871998,117.26446610316634,121.1997675076127,125.13506891205907,129.07037031650543,133.0056717209518,136.94097312539816,140.87627452984452,144.8115759342909,148.74687733873725,152.6821787431836,156.61748014762998,160.55278155207634,164.4880829565227,168.42338436096907,172.35868576541543,176.2939871698618,180.22928857430816,184.16458997875452,188.09989138320088,192.03519278764725,195.9704941920936,199.90579559653997,203.84109700098634,207.7763984054327,211.71169980987906,215.64700121432543,219.5823026187718,223.51760402321815,227.45290542766452,231.38820683211088,235.32350823655725,239.2588096410036,243.19411104544997,247.12941244989634,251.0647138543427,255.00001525878906]}"
"1257","{""values"":[18,48,186,494,1197,2427,4605,8118,12821,17363,22348,26015,29754,32650,34415,35549,35135,34052,32855,31350,30038,28419,27210,25960,24613,23937,22948,22777,22449,21759,21554,21056,21015,20758,21021,20505,20537,20241,19928,19992,19454,18965,18364,18401,18415,17309,16990,17062,15786,14969,12950,10759,8461,6244,4548,3437,2643,2031,1423,1030,669,312,147,90],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1262","{""_type"":""histogram"",""values"":[67,225,688,1767,4191,8236,13797,20435,26853,33910,40275,45277,48680,48756,45267,42116,38538,35229,32316,30008,27770,25984,24874,23548,22426,21627,20547,20182,19358,18485,18203,17874,17350,17218,17001,16780,16400,15983,15654,15009,14570,14148,13442,12968,12525,13178,11967,10371,8932,7159,5787,4233,3067,2211,1654,1184,844,541,365,246,133,81,33,33],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1267","{""values"":[2,15,38,132,329,946,2454,4840,8186,12247,16563,21536,25813,30269,35260,38041,39453,40605,39290,38363,36797,35234,33933,31946,30117,29242,27841,26458,25408,24375,23621,23068,22638,21551,20860,20126,19565,18725,17967,17731,16910,16379,15644,14840,14146,13420,13205,11968,11279,10561,9168,7840,6871,5743,4932,4133,3372,2426,1715,1157,679,343,150,110],""_type"":""histogram"",""bins"":[3.013475179672241,6.9507648684084415,10.888054557144642,14.825344245880842,18.762633934617043,22.699923623353243,26.637213312089443,30.574503000825644,34.511792689561844,38.449082378298044,42.386372067034245,46.323661755770445,50.260951444506645,54.198241133242846,58.135530821979046,62.072820510715246,66.01011019945145,69.94739988818765,73.88468957692385,77.82197926566005,81.75926895439625,85.69655864313245,89.63384833186865,93.57113802060485,97.50842770934105,101.44571739807725,105.38300708681345,109.32029677554965,113.25758646428585,117.19487615302205,121.13216584175825,125.06945553049445,129.00674521923065,132.94403490796685,136.88132459670305,140.81861428543925,144.75590397417545,148.69319366291165,152.63048335164785,156.56777304038405,160.50506272912025,164.44235241785645,168.37964210659266,172.31693179532886,176.25422148406506,180.19151117280126,184.12880086153746,188.06609055027366,192.00338023900986,195.94066992774606,199.87795961648226,203.81524930521846,207.75253899395466,211.68982868269086,215.62711837142706,219.56440806016326,223.50169774889946,227.43898743763566,231.37627712637186,235.31356681510806,239.25085650384426,243.18814619258046,247.12543588131666,251.06272557005286,255.00001525878906]}"
"1272","{""values"":[4,2,8,46,183,527,1239,2532,4509,6835,9656,12699,15811,18629,20230,22086,23088,23755,23766,24148,23722,23539,23442,23175,22814,22723,23002,23310,23243,23571,23541,24688,24740,25045,25416,25567,25951,26492,25998,26059,26012,25756,25488,25309,25331,26024,25214,25227,25081,24089,23517,20308,15653,11161,7972,5965,4648,3772,2703,1824,1004,458,189,80],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1277","{""values"":[3,9,41,110,366,1298,3962,9634,17379,22712,26073,27780,29981,31009,32300,32717,32977,32140,31943,31038,29983,29254,28322,27259,26579,25786,25089,24427,23961,23245,22327,21966,21318,20628,20251,19473,19034,18501,18148,17658,17267,16714,16273,15801,16053,16181,16083,16685,17381,16723,14354,10871,7792,5528,4411,3568,3000,2442,1868,1327,843,419,190,121],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1282","{""_type"":""histogram"",""values"":[12,34,88,279,688,1852,4440,7386,11043,15217,19189,24105,28648,32703,35284,36707,36745,35883,35011,33506,31525,30061,28545,27250,26218,25373,24757,23923,23349,23331,22490,22331,21868,21484,21494,21058,20978,20339,19659,19447,19253,18735,17939,17681,17357,17879,18298,17109,14992,13059,11417,9319,6804,4576,3186,2150,1584,1109,769,480,295,159,79,47],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1287","{""_type"":""histogram"",""values"":[4,5,34,131,390,965,1854,2985,4499,5849,7382,8932,10129,11055,12073,12790,13372,13865,14175,14530,15171,15658,16305,16764,17347,17966,18946,19541,20360,21415,22041,23287,24186,25256,26255,27106,28179,29202,30213,30771,31971,32637,33885,35617,38117,42392,47075,49004,43213,34119,25312,17498,11461,7455,5262,3792,2936,2275,1594,1004,574,254,91,50],""bins"":[7.581300735473633,11.447218149900436,15.31313556432724,19.179052978754044,23.044970393180847,26.91088780760765,30.776805222034454,34.64272263646126,38.50864005088806,42.374557465314865,46.24047487974167,50.10639229416847,53.972309708595276,57.83822712302208,61.70414453744888,65.57006195187569,69.43597936630249,73.3018967807293,77.1678141951561,81.0337316095829,84.8996490240097,88.76556643843651,92.63148385286331,96.49740126729012,100.36331868171692,104.22923609614372,108.09515351057053,111.96107092499733,115.82698833942413,119.69290575385094,123.55882316827774,127.42474058270454,131.29065799713135,135.15657541155815,139.02249282598495,142.88841024041176,146.75432765483856,150.62024506926537,154.48616248369217,158.35207989811897,162.21799731254578,166.08391472697258,169.94983214139938,173.8157495558262,177.681666970253,181.5475843846798,185.4135017991066,189.2794192135334,193.1453366279602,197.011254042387,200.8771714568138,204.74308887124062,208.60900628566742,212.47492370009422,216.34084111452103,220.20675852894783,224.07267594337463,227.93859335780144,231.80451077222824,235.67042818665504,239.53634560108185,243.40226301550865,247.26818042993546,251.13409784436226,255.00001525878906]}"
"1292","{""_type"":""histogram"",""values"":[11,27,83,231,593,1356,3063,6859,11946,17218,21032,25167,28275,31030,33896,36351,37316,37769,37250,36599,35270,33652,31896,30442,29010,27848,26718,25235,24167,23271,22714,21487,21172,20425,19618,19450,18875,18457,17978,17293,16965,16318,15737,15245,14496,13839,13812,13199,12878,11912,10738,9142,7823,6202,4895,4173,3273,2446,1797,1183,736,383,201,133],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1297","{""_type"":""histogram"",""values"":[22,49,195,533,1515,3584,8219,15497,22380,28516,32752,36419,38699,40119,39481,38194,36874,34781,32643,30783,28967,26838,25518,24562,23243,22698,21789,21247,20574,20071,19930,19398,19006,18347,18210,17794,17459,17434,16871,16648,15919,15629,15342,15134,15137,14973,14737,14833,14198,12287,10121,7910,5916,4447,3637,2990,2422,1768,1332,944,533,281,134,93],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1302","{""values"":[35,83,261,655,1333,2512,4282,6425,9039,12314,15922,19428,22711,24979,26652,27866,28572,29057,28795,28995,28751,28095,27935,27428,27148,26477,26522,25969,25489,25194,25207,24852,24523,24522,24406,24611,24102,23651,23082,23268,22723,22247,21611,20882,20871,21453,22362,21432,18819,16395,13324,9984,6421,3662,2100,1253,703,498,320,178,88,47,35,20],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1307","{""values"":[38,106,374,1226,3680,10003,20658,30023,34835,37885,40550,42099,42879,40868,38729,36152,33061,30538,28100,26037,24110,22615,20980,20055,19149,18512,18044,17183,17030,16535,16266,16463,16177,16221,16195,15942,16075,16187,15905,15818,15499,15008,14921,14422,14069,13699,13561,13672,14060,14659,14045,11248,8030,5808,4084,2706,2023,1387,1015,639,364,204,89,61],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1312","{""_type"":""histogram"",""values"":[22,37,184,563,1487,3598,7478,13050,18625,22696,26168,29961,33494,35800,36637,36862,36174,34986,33701,31268,29823,28268,26803,25623,24524,23404,22705,21785,21080,20411,20353,19988,19763,19380,19283,18824,18834,18478,18225,18330,17706,17252,16683,16059,15704,15424,15215,14994,13941,12744,11175,9441,7353,5860,4908,4032,3520,2795,2052,1418,824,469,214,118],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1317","{""_type"":""histogram"",""values"":[2,8,28,102,407,1409,3965,7363,11194,15430,20091,25914,32344,39194,43969,46736,47886,46816,44779,41942,39311,36138,33106,30545,28300,26334,24521,23050,22036,21002,19721,19231,18421,17738,17449,16739,16466,15895,15560,14896,14346,13810,13150,12761,12016,11447,10845,10523,10214,9000,7618,6661,5857,5199,4355,3900,3168,2566,1954,1436,843,485,241,143],""bins"":[1.5038460493087769,5.464723693206906,9.425601337105036,13.386478981003165,17.347356624901295,21.308234268799424,25.269111912697554,29.229989556595683,33.19086720049381,37.15174484439194,41.11262248829007,45.0735001321882,49.03437777608633,52.99525541998446,56.95613306388259,60.91701070778072,64.87788835167885,68.83876599557698,72.79964363947511,76.76052128337324,80.72139892727137,84.6822765711695,88.64315421506763,92.60403185896575,96.56490950286388,100.52578714676201,104.48666479066014,108.44754243455827,112.4084200784564,116.36929772235453,120.33017536625266,124.29105301015079,128.25193065404892,132.21280829794705,136.17368594184518,140.1345635857433,144.09544122964144,148.05631887353957,152.0171965174377,155.97807416133583,159.93895180523396,163.89982944913208,167.86070709303021,171.82158473692834,175.78246238082647,179.7433400247246,183.70421766862273,187.66509531252086,191.625972956419,195.58685060031712,199.54772824421525,203.50860588811338,207.4694835320115,211.43036117590964,215.39123881980777,219.3521164637059,223.31299410760403,227.27387175150216,231.23474939540029,235.19562703929842,239.15650468319654,243.11738232709467,247.0782599709928,251.03913761489093,255.00001525878906]}"
"1322","{""values"":[15,34,140,358,902,1787,2940,4450,6303,8125,9911,11535,13000,13961,15237,15998,16776,17402,18031,18841,19387,20154,20624,21417,22087,22963,23444,24147,24815,25336,26467,26678,27202,28035,28218,28771,29146,29361,29410,29307,29507,29434,29360,29876,30794,32540,36745,38930,35109,25691,15626,9470,6020,4138,3024,2367,2191,1752,1415,945,524,270,82,51],""_type"":""histogram"",""bins"":[12.081778526306152,15.877375975251198,19.672973424196243,23.46857087314129,27.264168322086334,31.05976577103138,34.855363219976425,38.65096066892147,42.446558117866516,46.24215556681156,50.03775301575661,53.83335046470165,57.6289479136467,61.42454536259174,65.22014281153679,69.01574026048183,72.81133770942688,76.60693515837193,80.40253260731697,84.19813005626202,87.99372750520706,91.78932495415211,95.58492240309715,99.3805198520422,103.17611730098724,106.97171474993229,110.76731219887733,114.56290964782238,118.35850709676743,122.15410454571247,125.94970199465752,129.74529944360256,133.5408968925476,137.33649434149265,141.1320917904377,144.92768923938274,148.7232866883278,152.51888413727283,156.31448158621788,160.11007903516293,163.90567648410797,167.70127393305302,171.49687138199806,175.2924688309431,179.08806627988815,182.8836637288332,186.67926117777824,190.4748586267233,194.27045607566833,198.06605352461338,201.86165097355843,205.65724842250347,209.45284587144852,213.24844332039356,217.0440407693386,220.83963821828365,224.6352356672287,228.43083311617374,232.2264305651188,236.02202801406384,239.81762546300888,243.61322291195393,247.40882036089897,251.20441780984402,255.00001525878906]}"
