"Step","shared_encoder_v2 - generated G distribution"
"1307","{""_type"":""histogram"",""values"":[118,453,1515,4395,12785,28016,38381,40794,39606,38025,36942,37123,36998,36623,36665,35761,34397,32613,29984,27419,25372,23507,22155,20812,19333,18786,17715,17398,16549,15861,15897,15221,14832,14442,14142,13673,13558,13160,13060,12893,12551,12477,12495,12403,12550,12401,12767,12966,12952,11384,8928,7152,5626,4503,3467,2571,1820,1102,732,377,169,113,58,33],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1312","{""_type"":""histogram"",""values"":[89,236,886,2674,7410,15753,23421,27980,29711,30564,30841,31946,32939,33916,34726,35612,35610,34976,33469,31379,29473,27991,26130,24939,23537,22303,21608,20460,19773,19287,18687,18536,17606,17593,17017,16745,16370,16311,15775,15334,15147,14620,14744,14251,14219,14204,13570,12716,11775,10171,8497,6642,5333,4031,3044,2273,1475,970,590,353,183,91,38,26],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1317","{""_type"":""histogram"",""values"":[17,43,166,584,2252,5840,9765,13834,16994,19752,22650,25740,29377,33066,36176,39061,40753,42101,41928,41053,39558,37049,34218,31795,29800,27105,24927,23301,21923,20560,19383,18584,17921,16968,16550,16209,15506,14929,14368,14004,13554,13596,13276,13004,12990,12681,12274,12112,11568,10385,9090,8322,7128,6057,5003,3985,3003,1938,1291,752,409,198,91,59],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1322","{""values"":[178,407,1019,2201,4158,6640,9773,12467,14853,16112,17847,19110,20228,20997,22115,23305,24549,25843,26423,27229,27626,27683,28306,28452,28861,29161,29288,29614,29660,29537,29401,29100,28796,28148,27781,27135,26033,25255,24054,23093,22286,21221,20684,20085,20042,20419,21568,19459,13766,6694,3201,2054,1372,1034,778,568,382,241,148,56,50,19,6,5],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"1327","{""_type"":""histogram"",""values"":[20,85,378,2126,9216,23490,37661,44578,46548,47677,47735,48399,49066,48664,47762,46479,45157,42470,39764,36611,32995,29092,25726,23215,20735,18421,16485,15163,13852,12810,11913,10951,10361,9820,9410,9065,8612,8251,7970,7593,7568,7297,7198,6740,6619,6291,5941,5659,5117,4719,4227,3546,2977,2358,1934,1332,1032,674,486,288,138,55,37,17],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"1332","{""_type"":""histogram"",""values"":[149,259,686,1299,2369,3732,5402,6849,8500,10313,11214,12755,14279,15356,16930,18134,19662,20795,21896,23353,24238,25129,26034,26469,27068,27740,28404,28888,29276,29928,30274,30356,30643,30926,30297,30084,29243,29045,28373,27685,26743,26324,25691,25277,25393,26770,27621,24221,18557,13278,7823,4120,3088,2532,2068,1754,1230,895,539,313,161,76,41,29],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1337","{""values"":[86,208,738,2452,7407,17566,28439,33787,36521,37452,38617,39347,40388,40714,40943,40053,38447,36178,34130,31074,29114,26923,25252,23106,21899,20720,19434,18575,17664,17064,16355,15712,15226,14889,14483,13956,13664,13217,12868,12589,12531,12096,11922,11623,11275,11231,10717,10316,9576,8923,7606,6158,4874,3852,2916,2054,1550,964,534,316,142,80,38,25],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1342","{""_type"":""histogram"",""values"":[140,351,1028,2839,7216,14408,21671,26204,29360,31140,31732,32588,33042,33482,33316,32698,32073,30888,29890,28962,27302,26608,25407,24709,23522,23048,22725,21998,21480,21049,20488,19856,19867,19458,18920,18648,18248,17476,17088,16478,16166,15737,15122,14647,14201,13993,14143,14296,13781,11534,8304,5711,3828,2743,2098,1629,1163,889,529,312,187,75,56,29],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1347","{""values"":[15,57,326,2453,12784,33810,53699,60949,58821,54179,51681,50575,49487,50072,48553,45691,41618,37289,32446,28274,24442,21080,18724,16391,14630,12987,12029,11195,10391,9500,9134,8749,8326,7969,7880,7610,7600,7305,7405,7439,7460,7423,7350,7437,7324,7519,7337,7228,6944,6743,6074,5405,4891,4251,3503,2677,2030,1365,909,535,304,170,76,56],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1352","{""_type"":""histogram"",""values"":[124,324,910,2028,4113,7141,10588,13760,16155,18368,19947,21990,24029,26403,28929,30239,31196,31148,30682,29896,29581,28875,28063,27299,26589,26180,25506,25329,24903,24414,24296,23766,22947,22490,22183,21567,20992,20721,20526,19640,19145,18702,18515,18338,18205,18046,17449,16735,15851,14141,10378,7535,5635,4524,3574,2784,2000,1325,851,519,238,139,72,38],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1357","{""values"":[68,121,385,988,2136,4322,8089,12510,16836,19924,22405,25035,28236,31426,34424,37103,38913,39433,39127,37918,36346,34263,32583,30813,29227,28109,27054,26404,25107,24420,23319,22375,21868,20805,20301,19117,18552,17596,16985,16123,15343,14823,14351,13890,13283,12653,12230,11807,10794,8686,6944,5491,4374,3641,2839,2183,1657,1108,736,444,277,150,61,45],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1362","{""values"":[23,81,252,747,2068,5347,10390,15708,18916,21693,25038,28397,31966,35919,38926,41216,41671,41207,39414,36492,34240,31486,28881,26791,25391,23526,22386,21234,20472,19927,18947,18626,18395,17555,17271,16890,16571,16311,16164,15842,15392,15018,15026,14473,14459,14609,14230,13782,12595,10939,9470,8071,6895,5750,4687,3579,2715,1834,1257,681,347,193,123,74],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1367","{""_type"":""histogram"",""values"":[219,473,1052,2175,3672,5495,7451,9227,10814,12266,13394,14260,14534,15596,16402,17055,17590,18299,18812,19430,20086,21189,21501,22333,22911,24232,24411,25471,26695,27198,27665,28219,28639,28846,29036,29400,28864,28909,28219,27277,27145,26409,26018,25685,25200,25835,27074,29817,29642,25024,19394,12893,6218,2094,506,138,53,36,27,19,20,6,4,2],""bins"":[0,3.726015329360962,7.452030658721924,11.178045988082886,14.904061317443848,18.63007664680481,22.35609197616577,26.082107305526733,29.808122634887695,33.53413796424866,37.26015329360962,40.98616862297058,44.71218395233154,48.438199281692505,52.16421461105347,55.89022994041443,59.61624526977539,63.34226059913635,67.06827592849731,70.79429125785828,74.52030658721924,78.2463219165802,81.97233724594116,85.69835257530212,89.42436790466309,93.15038323402405,96.87639856338501,100.60241389274597,104.32842922210693,108.0544445514679,111.78045988082886,115.50647521018982,119.23249053955078,122.95850586891174,126.6845211982727,130.41053652763367,134.13655185699463,137.8625671863556,141.58858251571655,145.31459784507751,149.04061317443848,152.76662850379944,156.4926438331604,160.21865916252136,163.94467449188232,167.6706898212433,171.39670515060425,175.1227204799652,178.84873580932617,182.57475113868713,186.3007664680481,190.02678179740906,193.75279712677002,197.47881245613098,201.20482778549194,204.9308431148529,208.65685844421387,212.38287377357483,216.1088891029358,219.83490443229675,223.56091976165771,227.28693509101868,231.01295042037964,234.7389657497406,238.46498107910156]}"
"1372","{""values"":[30,123,438,1787,5759,12640,20871,27833,31271,32224,33256,34205,36395,38693,40503,42372,42969,43270,41179,38376,35457,32081,28902,26393,23971,22109,20493,18875,18323,17219,16567,15617,15243,14631,14048,13539,12937,12644,12313,11874,11535,11154,10929,10578,10621,10355,10059,9777,9118,8402,7664,6556,5742,4787,3968,3215,2424,1715,1069,690,393,225,102,68],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1377","{""_type"":""histogram"",""values"":[149,428,1312,3821,9063,16361,23593,29674,32752,35008,36293,37923,38231,37909,36700,35617,34597,33210,31251,29440,28315,27115,25717,24898,24100,23430,22769,21773,21100,20703,19845,19054,18771,17939,17603,16746,16337,15649,15521,14649,14216,13449,12913,12454,12301,12135,11874,10903,8758,6484,4521,3571,2675,2208,1655,1152,778,520,315,167,93,40,19,9],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1382","{""values"":[215,511,1211,2529,4494,7132,10746,14038,17216,19615,21208,22377,23209,24519,25437,26465,27118,27845,28288,28916,28572,28296,28006,27578,27389,27092,27147,26601,26727,26479,26401,26049,25700,25101,24528,24179,23515,22621,21883,21032,20596,19526,18782,18423,18322,18392,18966,17737,14059,11015,7756,5270,3570,2414,1889,1416,1022,637,403,194,108,58,22,14],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1387","{""_type"":""histogram"",""values"":[84,210,644,1461,3069,6075,10723,15368,19232,21372,23607,25884,28701,31622,33770,35853,36171,35560,34750,33318,31330,29635,28293,27004,25864,25062,24028,23891,23054,22604,21946,21331,20974,20861,19998,19392,18955,18751,18329,17836,17363,17086,16383,15981,15387,15275,15220,15016,13452,11663,9139,7213,5936,4695,3746,2827,1965,1423,938,587,336,179,89,65],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1392","{""_type"":""histogram"",""values"":[23,79,330,1394,3865,8064,13423,18113,20774,23229,25490,27732,30640,33207,34758,36652,37387,37124,35947,34511,31927,29897,27877,25862,24426,23340,22484,21772,20496,19813,19232,18834,17977,17705,17191,16553,16220,15878,15377,15019,14921,14675,14394,14681,14276,13860,13837,13511,13164,12348,11582,10890,9982,8918,7727,6253,4755,3399,2184,1298,682,372,142,103],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"1397","{""values"":[149,360,917,1853,3017,4437,5876,7415,8940,10156,11428,12638,13939,15765,17638,19596,21417,23385,24886,26280,26738,27378,28032,28671,28548,28935,28947,28724,29391,29316,29822,29532,29465,29012,28492,28286,27829,27082,26471,25957,25452,24741,23641,23954,23032,21541,21883,20794,18193,12783,8931,6979,5455,4285,3425,2471,1771,1151,702,348,156,91,39,38],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
